epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,1000.05,1.46332,1.70045,1.39815,0.54222,0.48263,0.50565,0.28618,1.82407,2.03637,1.63005,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
58,1017.51,1.43691,1.6982,1.37819,0.58557,0.44959,0.501,0.28049,1.81332,1.98115,1.70547,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625,0.00163388,0.000544625
59,1034.66,1.42907,1.63169,1.3647,0.50296,0.53918,0.49499,0.26585,1.89862,2.01546,1.75938,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
60,1051.94,1.47103,1.72522,1.38348,0.55478,0.48952,0.52003,0.28689,1.87501,1.98515,1.67625,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,1069.2,1.44121,1.66607,1.37223,0.57069,0.4419,0.50571,0.28803,1.77524,1.93201,1.57911,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,1086.41,1.44766,1.66845,1.36915,0.60055,0.49185,0.52756,0.29701,1.73528,1.89353,1.57345,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,1103.5,1.44202,1.6592,1.3696,0.59787,0.5143,0.52961,0.30425,1.76629,1.91244,1.57257,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,1121,1.4496,1.61202,1.36346,0.56379,0.50866,0.51151,0.28718,1.76815,1.87842,1.62332,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,1138.36,1.44137,1.66988,1.37187,0.61347,0.46536,0.49304,0.26075,1.78222,1.96334,1.59644,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
66,1155.48,1.41944,1.62786,1.3711,0.52488,0.54822,0.50112,0.27641,1.79017,1.9398,1.63527,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,1172.63,1.43748,1.63571,1.36302,0.57317,0.50391,0.52939,0.29088,1.85285,1.96696,1.72714,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,1189.78,1.37877,1.6184,1.3391,0.55602,0.53625,0.52436,0.28228,1.86771,1.90853,1.71822,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,1206.92,1.40907,1.55747,1.33546,0.59212,0.52459,0.5247,0.28077,1.86789,1.88173,1.67776,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,1224,1.43548,1.61879,1.36351,0.57438,0.502,0.51984,0.28317,1.82672,1.85854,1.64646,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,1241.83,1.39441,1.60612,1.35187,0.55892,0.49067,0.50838,0.28006,1.83579,1.86818,1.63538,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,1259.39,1.39778,1.58004,1.34347,0.55934,0.55392,0.52309,0.28602,1.76033,1.90252,1.60305,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,1276.67,1.39828,1.55671,1.35011,0.55559,0.55509,0.5215,0.27928,1.79988,1.83023,1.6355,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,1294.19,1.38804,1.55205,1.343,0.60285,0.4984,0.51971,0.28689,1.80651,1.83224,1.65427,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,1311.72,1.38258,1.5579,1.32838,0.594,0.5016,0.51419,0.27906,1.77512,1.87554,1.62121,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,1328.73,1.37292,1.58181,1.33942,0.60418,0.55381,0.55493,0.2955,1.82359,1.83524,1.6316,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
77,1345.74,1.39206,1.57823,1.33788,0.56222,0.53239,0.53448,0.2924,1.81353,1.86949,1.59727,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,1363.34,1.36663,1.52937,1.32847,0.52512,0.56058,0.52768,0.28466,1.80999,1.85875,1.61623,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,1380.57,1.39683,1.55233,1.33887,0.54935,0.52508,0.5122,0.29349,1.80636,1.86246,1.59453,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,1397.68,1.3464,1.51127,1.31073,0.59697,0.54047,0.53594,0.29679,1.80029,1.83407,1.60297,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,1414.78,1.37509,1.54793,1.34804,0.61389,0.5136,0.53711,0.28893,1.84136,1.82165,1.64784,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,1431.99,1.35121,1.52842,1.32364,0.59427,0.53998,0.52304,0.28006,1.86448,1.85193,1.66708,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,1448.86,1.38426,1.52527,1.34568,0.64651,0.52181,0.52202,0.27946,1.85398,1.83761,1.65749,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
